arm,seed,eps,n,m,method,stepsize,slope,final_gap,L_emp,L_cert,eta,inner_iters_mean
main,38,0.002,60,2,SGA,emp,-0.989583452754649,8.891270073668744e-08,0.01643701590075812,267.91954348556084,60.83829364391363,
main,38,0.002,60,2,ASGA,emp,-2.0894418304502915,1.3362631522129131e-09,0.01643701590075812,267.91954348556084,60.83829364391363,
main,38,0.002,60,2,SGA,cert,-0.0199935652998697,0.014916225160546982,0.01643701590075812,267.91954348556084,0.0037324638098074903,
main,38,0.002,60,2,ASGA,cert,-0.9523535113024116,0.0016596543545493066,0.01643701590075812,267.91954348556084,0.0037324638098074903,
main,39,0.002,60,2,SGA,emp,-0.9640120233704933,1.2411196442796424e-07,0.015995086918992107,361.456005966472,62.51919761765275,
main,39,0.002,60,2,ASGA,emp,-1.977819944440993,2.215268649075064e-09,0.015995086918992107,361.456005966472,62.51919761765275,
main,39,0.002,60,2,SGA,cert,-0.014638099781644274,0.0140079333164932,0.015995086918992107,361.456005966472,0.002766588418765293,
main,39,0.002,60,2,ASGA,cert,-0.6722305660755056,0.0030422548831666243,0.015995086918992107,361.456005966472,0.002766588418765293,
main,40,0.002,60,2,SGA,emp,-0.9978765409741521,9.776005430867096e-08,0.016435910740572435,381.0222314659339,60.84238444611873,
main,40,0.002,60,2,ASGA,emp,-2.02763604288221,1.5485524321179334e-09,0.016435910740572435,381.0222314659339,60.84238444611873,
main,40,0.002,60,2,SGA,cert,-0.014213483710690254,0.020243227349539355,0.016435910740572435,381.0222314659339,0.0026245187745413934,
main,40,0.002,60,2,ASGA,cert,-0.6519113697747296,0.004602834558963792,0.016435910740572435,381.0222314659339,0.0026245187745413934,
main,41,0.002,60,2,SGA,emp,-0.9549630363991563,6.057895649003164e-08,0.016057531058591396,366.1570601970949,62.27607446942857,
main,41,0.002,60,2,ASGA,emp,-1.953009945798278,1.1202924699027506e-09,0.016057531058591396,366.1570601970949,62.27607446942857,
main,41,0.002,60,2,SGA,cert,-0.015128253439712809,0.04176085514511228,0.016057531058591396,366.1570601970949,0.0027310684640676334,
main,41,0.002,60,2,ASGA,cert,-0.6997548091600488,0.008465246762436512,0.016057531058591396,366.1570601970949,0.0027310684640676334,
main,42,0.002,60,2,SGA,emp,-0.994007773593556,8.63635833021903e-08,0.016397550273153386,259.45749285632667,60.98471926243966,
main,42,0.002,60,2,ASGA,emp,-2.0965519417600142,1.2582952076123366e-09,0.016397550273153386,259.45749285632667,60.98471926243966,
main,42,0.002,60,2,SGA,cert,-0.020701798644947974,0.015679831099963605,0.016397550273153386,259.45749285632667,0.0038541958799923545,
main,42,0.002,60,2,ASGA,cert,-0.9914743863570161,0.0015852983280356323,0.016397550273153386,259.45749285632667,0.0038541958799923545,
main,43,0.002,60,2,SGA,emp,-0.9796356909778825,1.2013917880665526e-07,0.0162926654971188,396.8625544942908,61.37731116966959,
main,43,0.002,60,2,ASGA,emp,-2.003063156949872,2.0650856233372927e-09,0.0162926654971188,396.8625544942908,61.37731116966959,
main,43,0.002,60,2,SGA,cert,-0.013695338985614224,0.023343631044723957,0.0162926654971188,396.8625544942908,0.0025197640560326176,
main,43,0.002,60,2,ASGA,cert,-0.6261837419934969,0.0056362502804121195,0.0162926654971188,396.8625544942908,0.0025197640560326176,
main,44,0.002,60,2,SGA,emp,-0.9679520771556306,5.51814214322377e-08,0.016333645985735994,305.1104231144399,61.22331786015748,
main,44,0.002,60,2,ASGA,emp,-1.9553962271265282,1.0408320455512765e-09,0.016333645985735994,305.1104231144399,61.22331786015748,
main,44,0.002,60,2,SGA,cert,-0.01810593157859985,0.03556893783285167,0.016333645985735994,305.1104231144399,0.003277501927965676,
main,44,0.002,60,2,ASGA,cert,-0.854785747230638,0.004980483860684504,0.016333645985735994,305.1104231144399,0.003277501927965676,
main,45,0.002,60,2,SGA,emp,-1.0057474237214168,8.149180491176522e-08,0.01638973897045013,249.6454578329176,61.01378440516651,
main,45,0.002,60,2,ASGA,emp,-2.137586509991277,1.1052189025084758e-09,0.01638973897045013,249.6454578329176,61.01378440516651,
main,45,0.002,60,2,SGA,cert,-0.021494440350810974,0.01507175394951702,0.01638973897045013,249.6454578329176,0.0040056807309079056,
main,45,0.002,60,2,ASGA,cert,-1.0351873621439254,0.0013694954684993592,0.01638973897045013,249.6454578329176,0.0040056807309079056,
main,46,0.002,60,2,SGA,emp,-0.9572471763822666,5.992002226340443e-08,0.016170426924162283,331.0752684433577,61.84128623751877,
main,46,0.002,60,2,ASGA,emp,-1.9587373837997464,1.1373046532314746e-09,0.016170426924162283,331.0752684433577,61.84128623751877,
main,46,0.002,60,2,SGA,cert,-0.016719656315599046,0.04018039692210107,0.016170426924162283,331.0752684433577,0.0030204611921083014,
main,46,0.002,60,2,ASGA,cert,-0.781911206285521,0.00670022189748172,0.016170426924162283,331.0752684433577,0.0030204611921083014,
main,47,0.002,60,2,SGA,emp,-1.022466804662601,8.745341033289389e-08,0.01607329255799923,373.2313775971114,62.21500643950687,
main,47,0.002,60,2,ASGA,emp,-2.0571355413598877,1.3239642437934407e-09,0.01607329255799923,373.2313775971114,62.21500643950687,
main,47,0.002,60,2,SGA,cert,-0.014567065548102298,0.022988471993280576,0.01607329255799923,373.2313775971114,0.002679303134795544,
main,47,0.002,60,2,ASGA,cert,-0.6699030845968084,0.00500953744583528,0.01607329255799923,373.2313775971114,0.002679303134795544,
main,48,0.002,60,2,SGA,emp,-1.0061585286025025,8.526940221617596e-08,0.016399157947924084,286.3071620107564,60.97874068751114,
main,48,0.002,60,2,ASGA,emp,-2.1017997277326543,1.2334155918836132e-09,0.016399157947924084,286.3071620107564,60.97874068751114,
main,48,0.002,60,2,SGA,cert,-0.01876842055842399,0.016040816013697085,0.016399157947924084,286.3071620107564,0.003492752304821598,
main,48,0.002,60,2,ASGA,cert,-0.8867847807067362,0.0020898318762694636,0.016399157947924084,286.3071620107564,0.003492752304821598,
main,49,0.002,60,2,SGA,emp,-0.9944959417036815,1.0141033762733898e-07,0.01623660797246417,307.4473948203258,61.58921873927795,
main,49,0.002,60,2,ASGA,emp,-2.0571328410868617,1.6134916527854593e-09,0.01623660797246417,307.4473948203258,61.58921873927795,
main,49,0.002,60,2,SGA,cert,-0.01746795653297451,0.017139910759959968,0.01623660797246417,307.4473948203258,0.003252588952930976,
main,49,0.002,60,2,ASGA,cert,-0.8180100877515888,0.002633853284065693,0.01623660797246417,307.4473948203258,0.003252588952930976,
main,0,0.002,60,4,SGA,emp,-1.0108071800285476,5.177410028478491e-08,0.01645303564134476,272.23174467966135,60.77905754285881,
main,0,0.002,60,4,ASGA,emp,-1.9993877018407846,8.90345179527241e-10,0.01645303564134476,272.23174467966135,60.77905754285881,
main,0,0.002,60,4,SGA,cert,-0.02023965395103846,0.0295826082890589,0.01645303564134476,272.23174467966135,0.0036733408926160065,
main,0,0.002,60,4,ASGA,cert,-0.9703704772065942,0.0031277002584231967,0.01645303564134476,272.23174467966135,0.0036733408926160065,
main,1,0.002,60,4,SGA,emp,-0.9676677953586934,6.924257207191475e-08,0.016436401225104782,323.50720391338876,60.840568826746015,
main,1,0.002,60,4,ASGA,emp,-1.9642062184700009,1.2649283287480273e-09,0.016436401225104782,323.50720391338876,60.840568826746015,
main,1,0.002,60,4,SGA,cert,-0.017087020638435955,0.036486214717105,0.016436401225104782,323.50720391338876,0.0030911212730450536,
main,1,0.002,60,4,ASGA,cert,-0.8008812881563209,0.005815643605959056,0.016436401225104782,323.50720391338876,0.0030911212730450536,
main,2,0.002,60,4,SGA,emp,-1.0316960170500529,6.888280892208831e-08,0.016336870346522432,384.59071006416633,61.21123439122269,
