d,block,sink_std,sink_acc,sec_std,sec_acc
5,1,0.6334001421928406,0.6334001421928406,3.13116192817688,2.7245843410491943
5,2,0.5925561189651489,0.5925561189651489,6.081135034561157,5.432023763656616
5,3,0.5720165371894836,0.5683401823043823,9.013736009597778,8.167950630187988
5,4,0.561150312423706,0.555128812789917,12.029191493988037,11.416390657424927
5,5,0.554716169834137,0.5483235120773315,15.12151050567627,13.887151718139648
5,6,0.5507602095603943,0.54462069272995,18.21573495864868,16.359593152999878
5,7,0.5483585596084595,0.5426446199417114,21.208620071411133,19.45483899116516
5,8,0.546817421913147,0.54159015417099,24.271789073944092,22.091586589813232
5,9,0.545846164226532,0.5411998629570007,27.354056358337402,24.929077625274658
5,10,0.5451166033744812,0.5412003397941589,30.39251184463501,28.00088906288147
5,11,0.5445889830589294,0.5413786768913269,33.356765031814575,31.166889905929565
5,12,0.5441455841064453,0.5416250228881836,36.422327518463135,34.10614228248596
5,13,0.5438563823699951,0.5418879389762878,39.33213019371033,36.8726270198822
5,14,0.5436232686042786,0.5421105027198792,42.19982385635376,39.72922611236572
5,15,0.54344242811203,0.5422696471214294,45.15401911735535,42.78186106681824
5,16,0.5432044267654419,0.5423072576522827,48.04499292373657,46.37081289291382
5,17,0.5430462956428528,0.5422967672348022,50.994680643081665,49.06651568412781
5,18,0.5429497957229614,0.5422698259353638,53.87439012527466,51.73135018348694
5,19,0.5427964925765991,0.5421773791313171,56.75601291656494,54.680731773376465
5,20,0.542719841003418,0.542092502117157,59.58305835723877,57.84926152229309
5,21,0.5426420569419861,0.5420248508453369,62.81744194030762,61.245330810546875
5,22,0.5425146222114563,0.5419473052024841,65.7697868347168,64.40542840957642
5,23,0.5424962043762207,0.5419259071350098,68.48478698730469,67.18624997138977
5,24,0.542441725730896,0.5418928265571594,71.86398339271545,69.95764589309692
5,25,0.542409360408783,0.5418952703475952,74.55665683746338,73.17668986320496
10,0,1.8386273384094238,1.8386273384094238,0.0,0.0
10,1,1.5358527898788452,1.5358527898788452,3.724923610687256,3.6659631729125977
10,2,1.4084234237670898,1.4084234237670898,7.346688508987427,7.27825927734375
10,3,1.3457515239715576,1.3334728479385376,11.117126226425171,10.995498180389404
10,4,1.310368537902832,1.2900376319885254,14.852834224700928,14.591361999511719
10,5,1.2893959283828735,1.2659229040145874,18.571073055267334,18.43446946144104
10,6,1.275895357131958,1.2528371810913086,22.19144868850708,22.12468433380127
10,7,1.2668023109436035,1.2459934949874878,25.73167896270752,25.42766547203064
10,8,1.2605136632919312,1.2428208589553833,29.219717979431152,28.906649351119995
10,9,1.2563021183013916,1.24199640750885,32.759385108947754,32.52905225753784
10,10,1.2532885074615479,1.242344617843628,36.20959115028381,36.224886894226074
10,11,1.2511415481567383,1.2431795597076416,39.97066140174866,39.65258526802063
10,12,1.2493350505828857,1.2440043687820435,43.78522539138794,43.25342345237732
10,13,1.2482974529266357,1.2447237968444824,47.64798903465271,46.87287402153015
10,14,1.2474346160888672,1.2451860904693604,51.51894760131836,50.473235845565796
10,15,1.2467623949050903,1.2453545331954956,55.27765464782715,54.15780568122864
10,16,1.2463433742523193,1.245349645614624,58.898539304733276,57.86298418045044
10,17,1.2460145950317383,1.2452282905578613,62.421499252319336,61.600377559661865
10,18,1.2458314895629883,1.2450882196426392,66.20810508728027,65.36163687705994
10,19,1.2456538677215576,1.2449482679367065,69.75490021705627,68.85842561721802
10,20,1.2455347776412964,1.2448434829711914,73.122567653656,72.21530079841614
