seed,d,kappa,theta,block,delta_t,lambda_min_symZ,gap_std,gap_acc
3,2,1.0,0.7853981633974483,24,1.1054666251019422e-09,1.0000004613299094,3.4132301031632853e-16,7.978213256355606e-15
3,2,1.0,0.7853981633974483,25,3.171286368557665e-08,1.0000002308585492,6.211648289879182e-17,1.8973498843222517e-15
3,2,1.0,0.7853981633974483,26,1.4381865283905537e-09,1.0000000091292147,1.419559059915733e-17,4.740058411381006e-18
3,2,1.0,0.7853981633974483,27,6.177511460838588e-09,0.999999906824316,3.4909337955452916e-17,5.345717640524944e-16
3,2,1.0,0.7853981633974483,28,2.9246170381133125e-09,0.9999998073806634,2.405178260587474e-17,4.429261244256416e-16
3,2,1.0,0.7853981633974483,29,0.0003687066249861285,0.9999998271048045,5.791301572359335e-18,1.2249557631849258e-17
3,2,1.0,0.7853981633974483,30,7.497781634383427e-09,1.0000000161931617,1.9782772947660017e-18,3.6391366356973144e-16
3,2,1.0,0.7853981633974483,31,4.123814187035113e-09,1.000000111684513,1.6525248841461876e-19,2.2248321579047633e-16
3,2,1.0,0.7853981633974483,32,0.00048682269577702896,1.0000000475655735,4.982406097439522e-21,4.093817271251298e-17
3,2,1.0,0.7853981633974483,33,1.5448855787109603e-08,0.9999999875217936,7.691461377641901e-21,2.1422969738751868e-19
3,2,1.0,0.7853981633974483,34,1.4645577657216452e-08,0.9999999655756359,8.945875606699739e-20,2.3049253765530883e-17
3,2,1.0,0.7853981633974483,35,2.8336126746469586e-08,0.9999999368601258,1.232051401197467e-19,3.3768420661255596e-21
3,2,1.0,0.7853981633974483,36,0.0008159523637709993,1.0000000063338026,1.2929484378936208e-19,1.159815165869283e-17
3,2,1.0,0.7853981633974483,37,1.828580588584458e-08,1.0000000136151517,1.3046876817493968e-19,1.5287154679094556e-17
3,2,1.0,0.7853981633974483,38,2.5784833493569945e-08,1.0000000113922494,1.307400317170688e-19,4.59265441263375e-18
3,2,1.0,0.7853981633974483,39,1.4904580245083165e-08,0.9999999976556425,1.3081726970676593e-19,5.304943980801378e-19
3,2,1.0,0.7853981633974483,40,2.4588640246948267e-08,0.9999999901588544,1.3084327419727306e-19,3.096625069347389e-19
4,2,1.0,0.7853981633974483,1,0.0,0.8209697190898558,0.10031648225241252,0.10031648225241252
4,2,1.0,0.7853981633974483,2,4.375762528796478e-15,0.8402666818814285,0.0281510614862307,0.028151061486230672
4,2,1.0,0.7853981633974483,3,8.104147288594683e-15,0.8973009655809482,0.007511319451463494,0.004974433932954311
4,2,1.0,0.7853981633974483,4,6.363673881204372e-14,0.9626220967597694,0.0019443308073492996,0.0003566502830350156
4,2,1.0,0.7853981633974483,5,4.9813454723267204e-14,0.9998895806910002,0.0004949241285625711,3.080649255763875e-06
4,2,1.0,0.7853981633974483,6,2.654557944891615e-14,0.9996863033691277,0.000124871917933176,3.658962483440824e-05
4,2,1.0,0.7853981633974483,7,1.0138060217310766e-13,0.9997648707933187,3.1362912463336716e-05,1.7733372564122593e-05
4,2,1.0,0.7853981633974483,8,8.503947344548559e-13,0.9999086473019183,7.858992835888066e-06,2.4132557441540903e-06
4,2,1.0,0.7853981633974483,9,2.2951314098669724e-13,0.9997509768848323,1.9670118381355777e-06,4.661978783823185e-09
4,2,1.0,0.7853981633974483,10,2.015953223522513e-13,0.9977124956627506,4.92036462148562e-07,3.3016927249661897e-07
4,2,1.0,0.7853981633974483,11,3.728808267491417e-13,0.9980000844092018,1.2304458749774153e-07,2.140309547072304e-07
4,2,1.0,0.7853981633974483,12,4.716601165014937e-12,0.9991073433212343,3.0765583102648503e-08,3.6611947577515564e-08
4,2,1.0,0.7853981633974483,13,1.0024058990714452e-12,0.9999988048153179,7.691950322305107e-09,1.337336723718723e-11
4,2,1.0,0.7853981633974483,14,1.0743345555765556e-12,0.9999921960848549,1.9230568602514536e-09,5.617841327901088e-09
4,2,1.0,0.7853981633974483,15,4.162513008326627e-12,0.999993160693655,5.013984291505399e-10,4.190758304248765e-09
