seed,method,block,w2
2,acc,6,0.025869468227028847
2,std,7,0.02510298416018486
2,acc,7,0.022479938343167305
2,std,8,0.027959363535046577
2,acc,8,0.025953663513064384
2,std,9,0.032835666090250015
2,acc,9,0.03010290302336216
2,std,10,0.01943681202828884
2,acc,10,0.018697023391723633
2,std,11,0.030587870627641678
2,acc,11,0.027947910130023956
2,std,12,0.027761273086071014
2,acc,12,0.02585780806839466
2,std,13,0.026938147842884064
2,acc,13,0.02638646773993969
2,std,14,0.030003955587744713
2,acc,14,0.02726249396800995
2,std,15,0.028667928650975227
2,acc,15,0.025851231068372726
2,std,16,0.030192721635103226
2,acc,16,0.02787070721387863
2,std,17,0.030512884259223938
2,acc,17,0.02920697070658207
2,std,18,0.024435602128505707
2,acc,18,0.023250877857208252
2,std,19,0.028654323890805244
2,acc,19,0.02595260553061962
2,std,20,0.03530500829219818
2,acc,20,0.032833945006132126
2,std,21,0.03651459142565727
2,acc,21,0.033703237771987915
2,std,22,0.024894889444112778
2,acc,22,0.023227347061038017
2,std,23,0.022092673927545547
2,acc,23,0.021487781777977943
2,std,24,0.034320246428251266
2,acc,24,0.03147569298744202
2,std,25,0.026461036875844002
2,acc,25,0.02400306798517704
3,std,0,1.0291599035263062
3,acc,0,1.0291599035263062
3,std,1,0.1086212620139122
3,acc,1,0.1086212620139122
3,std,2,0.02802831120789051
3,acc,2,0.02802831120789051
3,std,3,0.02955668792128563
3,acc,3,0.02963310107588768
3,std,4,0.025640999898314476
3,acc,4,0.02491088956594467
3,std,5,0.033443838357925415
3,acc,5,0.034303728491067886
3,std,6,0.02394312433898449
3,acc,6,0.024544164538383484
3,std,7,0.022110167890787125
3,acc,7,0.02314852736890316
3,std,8,0.02233630232512951
3,acc,8,0.023212937638163567
3,std,9,0.02708900347352028
3,acc,9,0.026921585202217102
3,std,10,0.027744974941015244
3,acc,10,0.02835083194077015
3,std,11,0.025700414553284645
3,acc,11,0.025124652311205864
3,std,12,0.028842831030488014
3,acc,12,0.02980724908411503
3,std,13,0.029672974720597267
3,acc,13,0.030737796798348427
3,std,14,0.02862173318862915
3,acc,14,0.029885578900575638
3,std,15,0.024672426283359528
3,acc,15,0.02555210143327713
3,std,16,0.030512750148773193
3,acc,16,0.031125739216804504
3,std,17,0.028993282467126846
3,acc,17,0.029297007247805595
3,std,18,0.024215053766965866
3,acc,18,0.024566248059272766
3,std,19,0.02259935811161995
3,acc,19,0.02320888452231884
3,std,20,0.02886105887591839
3,acc,20,0.03013925440609455
3,std,21,0.030225060880184174
3,acc,21,0.031529542058706284
3,std,22,0.030913345515727997
3,acc,22,0.03215085715055466
3,std,23,0.038186267018318176
3,acc,23,0.038423407822847366
3,std,24,0.023197997361421585
3,acc,24,0.023205842822790146
3,std,25,0.02536485344171524
3,acc,25,0.026110511273145676
4,std,0,1.0301389694213867
4,acc,0,1.0301389694213867
4,std,1,0.1081913560628891
4,acc,1,0.1081913560628891
4,std,2,0.026217568665742874
4,acc,2,0.026217568665742874
4,std,3,0.020975548774003983
4,acc,3,0.020028749480843544
4,std,4,0.02455117553472519
4,acc,4,0.024069592356681824
4,std,5,0.027102850377559662
4,acc,5,0.026829220354557037
4,std,6,0.02023373730480671
4,acc,6,0.019729916006326675
4,std,7,0.01929607428610325
4,acc,7,0.018650881946086884
4,std,8,0.023139359429478645
4,acc,8,0.02250640094280243
4,std,9,0.024368369951844215
4,acc,9,0.024576371535658836
4,std,10,0.0212845541536808
4,acc,10,0.021277086809277534
4,std,11,0.024954959750175476
4,acc,11,0.02405436895787716
4,std,12,0.021883593872189522
4,acc,12,0.021482104435563087
4,std,13,0.02719896100461483
4,acc,13,0.026270680129528046
4,std,14,0.02344433404505253
4,acc,14,0.02280369959771633
4,std,15,0.021697260439395905
4,acc,15,0.021190419793128967
4,std,16,0.020704235881567
4,acc,16,0.020756714046001434
4,std,17,0.020889822393655777
4,acc,17,0.021423468366265297
4,std,18,0.020652417093515396
4,acc,18,0.020268527790904045
4,std,19,0.026897139847278595
4,acc,19,0.026164241135120392
4,std,20,0.020651260390877724
4,acc,20,0.01999596133828163
4,std,21,0.02185233309864998
4,acc,21,0.022491829469799995
4,std,22,0.022206861525774002
4,acc,22,0.02223328687250614
4,std,23,0.020412519574165344
4,acc,23,0.02038150653243065
4,std,24,0.018958035856485367
4,acc,24,0.018994981423020363
4,std,25,0.021253684535622597
