arm,d,R,seed,method,blocks_1e-3,final_gap,sup_w2sq,mom_overhead_pct,spectral_gap,mono_violation,max_map_defect,slope_std,slope_acc
quantile-1d,1,2,31,acc,13,3.233768434540707e-05,14.776688829145419,0.8796739102335321,,0.0,2.1848741851777429e-16,,
quantile-1d,1,2,32,std,31,8.473000072273251e-05,6.426512572820288,0.0,0.21863666594071457,,,,
quantile-1d,1,2,32,acc,12,7.63036451087995e-05,6.426512572820288,0.8732505348754872,,0.0,1.1252960345822816e-16,,
quantile-1d,1,2,33,std,33,9.504572069141126e-05,9.557540234653294,0.0,0.21954344214258653,,,,
quantile-1d,1,2,33,acc,13,2.0472468205356975e-05,9.557540234653294,2.0072234841783003,,0.0,1.1255348235908954e-16,,
quantile-1d,1,2,34,std,29,8.978824577998701e-05,4.407820037960011,0.0,0.21827491096401266,,,,
quantile-1d,1,2,34,acc,12,5.4699090925591776e-05,4.407820037960011,0.9925601167412561,,0.0,1.1251998763085494e-16,,
quantile-1d,1,2,35,std,32,8.799521183444625e-05,8.599071012791459,0.0,0.2192527282472307,,,,
quantile-1d,1,2,35,acc,12,1.8623064106604303e-05,8.599071012791459,0.49139703236201876,,0.0,2.1719796324131752e-16,,
quantile-1d,1,2,36,std,32,9.191969457056359e-05,6.925667535858491,0.0,0.21878924403417235,,,,
quantile-1d,1,2,36,acc,12,8.488617704105472e-05,6.925667535858491,0.8627565240228207,,0.0,2.1775257276939518e-16,,
quantile-1d,1,2,37,std,33,9.023913784056425e-05,12.042019922530455,0.0,0.22018983610467033,,,,
quantile-1d,1,2,37,acc,13,2.569260476414925e-05,12.042019922530455,0.5888436584815299,,0.0,1.1254983014695614e-16,,
quantile-1d,1,2,38,std,33,8.415689841223539e-05,10.598650202049503,0.0,0.21982374307336958,,,,
quantile-1d,1,2,38,acc,13,2.447176428233e-05,10.598650202049503,0.8150207702098684,,0.0,2.1668834357645423e-16,,
quantile-1d,1,2,39,std,33,8.052361389010443e-05,10.228236387277681,0.0,0.21966432802182892,,,,
quantile-1d,1,2,39,acc,13,2.2224851400132195e-05,10.228236387277681,1.2828703848509615,,0.0,2.1673859278651498e-16,,
quantile-1d,1,2,40,std,33,9.10868950207977e-05,12.230458661098037,0.0,0.2202408959579014,,,,
quantile-1d,1,2,40,acc,13,2.594082409101972e-05,12.230458661098037,1.0412923424836766,,0.0,1.125496617784509e-16,,
quantile-1d,1,2,41,std,34,9.986068847722684e-05,14.100624441362557,0.0,0.22077505118817023,,,,
quantile-1d,1,2,41,acc,13,2.9121963062817002e-05,14.100624441362557,1.2460891875832683,,0.0,2.1587790501159295e-16,,
quantile-1d,1,2,42,std,34,9.649240649434176e-05,13.08702888638223,0.0,0.22053850894395202,,,,
quantile-1d,1,2,42,acc,13,2.8663549411112044e-05,13.08702888638223,0.7893583378632393,,0.0,2.1609257737554103e-16,,
quantile-1d,1,2,43,std,34,9.59525465136224e-05,12.6510028837771,0.0,0.22048838982196342,,,,
quantile-1d,1,2,43,acc,13,2.9444500173392285e-05,12.6510028837771,0.8252045478801797,,0.0,2.1621605271255903e-16,,
quantile-1d,1,2,44,std,31,8.791257188422996e-05,6.48419671838195,0.0,0.21810695451901033,,,,
quantile-1d,1,2,44,acc,12,8.202157606196359e-05,6.48419671838195,0.976551247438581,,0.0,1.1252756603243046e-16,,
quantile-1d,1,2,45,std,33,8.505828323590592e-05,10.988413921177719,0.0,0.21989468788551766,,,,
quantile-1d,1,2,45,acc,13,2.4027877016052912e-05,10.988413921177719,1.0448150321284664,,0.0,1.1255096124324508e-16,,
quantile-1d,1,2,46,std,34,8.42630351123308e-05,14.781970876712643,0.0,0.2209421352039196,,,,
quantile-1d,1,2,46,acc,13,3.231870175035567e-05,14.781970876712643,1.2260388952028711,,0.0,2.1848826847802185e-16,,
quantile-1d,1,2,47,std,33,9.08340649339312e-05,12.235765361245925,0.0,0.22023342986257907,,,,
quantile-1d,1,2,47,acc,13,2.5682861763520748e-05,12.235765361245925,0.6844533917972985,,0.0,1.1254982376150286e-16,,
quantile-1d,1,2,48,std,32,8.960731297791291e-05,8.903599080659555,0.0,0.2193366424367755,,,,
quantile-1d,1,2,48,acc,12,1.8723992498026476e-05,8.903599080659555,0.5404161151752603,,0.0,2.1708150400303093e-16,,
quantile-1d,1,2,49,std,32,8.741605661866103e-05,8.636734160952958,0.0,0.2192541566998236,,,,
quantile-1d,1,2,49,acc,12,1.8066825930640462e-05,8.636734160952958,0.6268276611396739,,0.0,2.171577421637093e-16,,
quantile-1d,1,4,0,std,79,9.221648767843149e-05,23.067984293179634,0.0,0.08785515723810045,,,,
quantile-1d,1,4,0,acc,21,7.142075518151714e-05,23.067984293179634,0.7161610008799698,,0.14285714285714285,1.5076930446051137e-16,,
quantile-1d,1,4,1,std,77,9.561117079748271e-05,17.81544188522188,0.0,0.08766910006407191,,,,
quantile-1d,1,4,1,acc,20,5.0975605178749106e-05,17.81544188522188,0.9137009178779143,,0.0,1.5077793904272243e-16,,
quantile-1d,1,4,2,std,75,9.93846556061051e-05,14.239194072672724,0.0,0.08746023193947197,,,,
quantile-1d,1,4,2,acc,20,4.613736291902981e-05,14.239194072672724,0.5233222993007912,,0.0,1.5078049883360113e-16,,
quantile-1d,1,4,3,std,72,9.972762911347743e-05,10.503325192739732,0.0,0.0873421949660339,,,,
quantile-1d,1,4,3,acc,20,9.729704825911512e-05,10.503325192739732,1.0169309080810989,,0.0,1.507643981567308e-16,,
quantile-1d,1,4,4,std,81,9.57306896238741e-05,28.60197833775185,0.0,0.08815124636132199,,,,
quantile-1d,1,4,4,acc,21,8.09457244503875e-05,28.60197833775185,1.0385899457168657,,0.2,1.507656781942145e-16,,
quantile-1d,1,4,5,std,79,9.400459174280229e-05,24.662384477344407,0.0,0.08796820845654149,,,,
quantile-1d,1,4,5,acc,21,7.044319175442126e-05,24.662384477344407,1.0992911769796025,,0.11428571428571428,1.507695936050858e-16,,
quantile-1d,1,4,6,std,78,9.251954550748565e-05,20.525109202106727,0.0,0.08775979572568757,,,,
quantile-1d,1,4,6,acc,20,6.440138435248599e-05,20.525109202106727,0.8309810484700835,,0.05714285714285714,1.5077212421662404e-16,,
quantile-1d,1,4,7,std,78,9.775424839819635e-05,20.475527824010477,0.0,0.08779163518157,,,,
quantile-1d,1,4,7,acc,20,5.8990520596324814e-05,20.475527824010477,0.6653099853334079,,0.0,1.5077430843954568e-16,,
quantile-1d,1,4,8,std,74,9.17091596663866e-05,13.704192702330914,0.0,0.08748221046575876,,,,
quantile-1d,1,4,8,acc,20,3.8294786218529e-05,13.704192702330914,0.8893446980782653,,0.0,1.5078445193476792e-16,,
quantile-1d,1,4,9,std,81,9.535213864086955e-05,28.020816899110105,0.0,0.08814838834002373,,,,
quantile-1d,1,4,9,acc,21,8.144270240473261e-05,28.020816899110105,1.506555584830533,,0.2,1.5076552504069366e-16,,
quantile-1d,1,4,10,std,81,9.93442949317469e-05,30.003793921004867,0.0,0.08823451179347144,,,,
quantile-1d,1,4,10,acc,21,8.508611093915874e-05,30.003793921004867,1.2944089698177448,,0.2,1.5076423233388964e-16,,
quantile-1d,1,4,11,std,72,9.189001873233238e-05,10.759614395440355,0.0,0.0873230510020235,,,,
quantile-1d,1,4,11,acc,20,9.52781564955707e-05,10.759614395440355,0.6983524248205978,,0.0,1.5076499887140855e-16,,
